,text,target,title
3661,,1,comp.graphics
5384,"I would like a reference to an algorithm that can detect whether 
one closed curve bounded by some number of bezier curves lies completely
within another closed curve bounded by bezier curves.

Thanks.",1,comp.graphics
10443,"

Here at Lewis and Clark College we have recently installed a Digital Film
system (based on the Mac Quadra) that does non-linear, full digital editing.

If you're considering such a system, here are the pros and cons:

For the educational environment, this system is excellent.  We use it to
produce a variety of educational materials for disemination on our local
network.  Because this programming is going to be viewed on other Macs, the
image quality is not as important as the ability to directly export the
video to the Net.

We also use it to produce orientiation and promotional video programs for
use by the Lewis & Clark community.  Since these programs are not meant for
commercial or broadcast use, image quality is not critical.

The Digital Film system, for those of you who are uninitiated, is an A/B roll
digitizing system on one $5000 JPEG compression card.  It was promoted as
an inexpensive online editing system with SVHS quality.  SuperMac, the maker
of the card, is trying to achieve this quality level, but as yet, has been
unable to deliver.  Our system produces ""near VHS"" quality at 30 fields per
second (640x480 overscan).  The card repeats every other field to get 60
fields per second.  This results in a kind of Super 8 film look that some
find distracting.

If you can get past this problem, you'll find the Adobe Premier editing 
software quite enjoyable with which to work.  It produces thousands of
different effects from crystalize filters to DVE transitions to color matting.

Because of its non-linear nature, editing is fast and easy.  If you've ever
used (or seen used) an AVID or Montage system, you'll recognize the methodology
and the user interface.

The total system with Quadra 950 (40Megs of RAM), 1 gig drive, 21"" Apple mon-
itor, Panasonic SVHS 1960 edit deck, audio gear (cassette, CD, EQ, mixer, etc),
Composite monitor, Digital Film card will set you back about $20,000.

For you video cowboys and girls, this system will not output at a quality
that will satisfy most of your clients.  Even though you can perform more
effects than a toasterhead can imagine, an Amiga based off-line based system
will look better.

We use both Macs and Amigas for our video work.  Each for what each does best!
",1,comp.graphics
6305,"
I went back and looked at the review again.  They claim there were
significant differences in manipulating a 27 meg test file, but with
smaller files, the two platforms were the about the same.  David
",1,comp.graphics
6583,"
-> According to the TIFF 5.0 Specification, the TIFF ""version number""
-> (bytes 2-3) 42 has been chosen for its ""deep philosophical 
-> significance"".

-> Last week, I read the Hitchhikers Guide To The Galaxy, and rotfl the
-> second time. (After millions of years of calculation, the second-best
-> computer of all time reveals that 42 is the answer to the question
-> about life, the universe and everything)

-> Is this actually how they picked the number 42?


-> Does anyone have any  other suggestions where the 42 came from?

   At this moment the King, who had been for some time busily writing in
his note-book, called out ""Silence!"" and read out from his book
""Rule Forty-two. All persons more than a mile high to leave the court.""
   Everybody looked at Alice.
   ""I'm not a mile high,"" said Alice.
   ""You are,"" said the King.
   ""Nearly two miles high,"" added the queen.
   ""Well, I sha'n't go, at any rate,"" said Alice; ""besides, that's not
a regular rule: you invented it just now.""
   ""It's the oldest rule in the book,"" said the King.
   ""Then it ought to be Number One,"" said Alice.
",1,comp.graphics
7849,"re: majority of users not readding from floppy.
Well, how about those of us who have 1400-picture CD-ROMS and would like to use
CVIEW because it is fast and it works well, but can't because the moron lacked
the foresight to create the temp file in the program's path, not the current
didrectory?

",1,comp.graphics
1156,"Hi Everyone--

  It's spend-the-money-before-it-goes-away time here at U.Florida
and we need to find some PC-based software that will do contour
plotting with irregular boundaries,i.e., a 2-D profile of a soil
                                    system with a pond superimposed
                /-----------------  on it.  We've given SURFER a
    POND      /                  |  trial run but it interpolates
            /                    |  contours out into the pond and/or
----------/                      |  creates artifacts at the borders.
a response, I'll post a summary.  Thanks -- (and now back to lurking).",1,comp.graphics
1012,"
I agree with you. Of cause I'll try to be a daemon :-)",1,comp.graphics
10849,"Is the "".3ds"" file format for Autodesk's 3D Animation Studio available?

Thanks,
Gary",1,comp.graphics
9656,"
Some VESA bios's support this mode (0x100).  And *any* VGA should be able to
support this (640x480 by 256 colors) since it only requires 256,000 bytes.
My 8514/a VESA TSR supports this; it's the only VESA mode by card can support
due to 8514/a restrictions. (A WD/Paradise)
",1,comp.graphics
